Batsman,Result,TeamState,n,Reviews
M Morkel,Upheld,Bowling,1,3
M Vijay,Struck down,Batting,2,6
M Vijay,Struck down,Bowling,7,9
M Vijay,Umpire's call,Batting,1,6
M Vijay,Upheld,Batting,3,6
M Vijay,Upheld,Bowling,2,9
MA Agarwal,Struck down,Batting,2,5
MA Agarwal,Umpire's call,Batting,1,5
MA Agarwal,Umpire's call,Bowling,1,2
MA Agarwal,Upheld,Batting,2,5
MA Agarwal,Upheld,Bowling,1,2
MA Beer,Struck down,Batting,1,1
MA Carberry,Struck down,Bowling,2,2
MA Starc,Struck down,Batting,5,8
MA Starc,Struck down,Bowling,5,9
MA Starc,Upheld,Batting,3,8
MA Starc,Upheld,Bowling,4,9
MA Wood,Struck down,Bowling,1,2
MA Wood,Upheld,Bowling,1,2
Mahmudullah,Struck down,Batting,4,5
Mahmudullah,Struck down,Bowling,8,13
Mahmudullah,Umpire's call,Bowling,3,13
Mahmudullah,Upheld,Batting,1,5
Mahmudullah,Upheld,Bowling,2,13
MD Craig,Struck down,Batting,2,3
MD Craig,Struck down,Bowling,6,6
MD Craig,Upheld,Batting,1,3
MD Gunathilaka,Struck down,Batting,1,2
MD Gunathilaka,Struck down,Bowling,1,2
MD Gunathilaka,Umpire's call,Batting,1,2
MD Gunathilaka,Upheld,Bowling,1,2
MD Shanaka,Struck down,Batting,1,1
MD Stoneman,Struck down,Batting,2,3
MD Stoneman,Struck down,Bowling,2,3
MD Stoneman,Upheld,Batting,1,3
MD Stoneman,Upheld,Bowling,1,3
MDK Perera,Struck down,Batting,12,25
MDK Perera,Struck down,Bowling,10,13
MDK Perera,Umpire's call,Batting,2,25
MDK Perera,Umpire's call,Bowling,1,13
MDK Perera,Upheld,Batting,11,25
MDK Perera,Upheld,Bowling,2,13
MDKJ Perera,Struck down,Bowling,5,5
MDKJ Perera,Umpire's call,Batting,1,1
MDUS Jayasundera,Upheld,Bowling,1,1
Mehedi Hasan Miraz,Struck down,Batting,2,2
Mehedi Hasan Miraz,Upheld,Bowling,1,1
Mehidy Hasan Miraz,Struck down,Batting,2,5
Mehidy Hasan Miraz,Struck down,Bowling,2,4
Mehidy Hasan Miraz,Umpire's call,Batting,1,5
Mehidy Hasan Miraz,Umpire's call,Bowling,1,4
Mehidy Hasan Miraz,Upheld,Batting,2,5
Mehidy Hasan Miraz,Upheld,Bowling,1,4
MEK Hussey,Struck down,Batting,2,5
MEK Hussey,Struck down,Bowling,6,9
MEK Hussey,Upheld,Batting,3,5
MEK Hussey,Upheld,Bowling,3,9
MF Maharoof,Struck down,Batting,1,1
MF Maharoof,Struck down,Bowling,2,2
MG Johnson,Struck down,Batting,1,1
MG Johnson,Struck down,Bowling,3,5
MG Johnson,Upheld,Bowling,2,5
Misbah-ul-Haq,Struck down,Batting,13,17
Misbah-ul-Haq,Struck down,Bowling,22,27
Misbah-ul-Haq,Upheld,Batting,4,17
Misbah-ul-Haq,Upheld,Bowling,5,27
MJ Clarke,Struck down,Batting,4,8
MJ Clarke,Struck down,Bowling,14,16
MJ Clarke,Upheld,Batting,4,8
MJ Clarke,Upheld,Bowling,2,16
MJ Guptill,Struck down,Bowling,8,8
MJ Guptill,Upheld,Batting,1,1
MJ Leach,Struck down,Bowling,1,2
MJ Leach,Upheld,Batting,1,1
MJ Leach,Upheld,Bowling,1,2
MJ North,Struck down,Bowling,1,2
MJ North,Upheld,Bowling,1,2
MJ Prior,Struck down,Batting,3,7
MJ Prior,Struck down,Bowling,7,9
MJ Prior,Upheld,Batting,4,7
MJ Prior,Upheld,Bowling,2,9
MJ Santner,Struck down,Bowling,4,5
MJ Santner,Upheld,Bowling,1,5
ML Cummins,Struck down,Bowling,1,1
ML Cummins,Upheld,Batting,2,2
ML Udawatte,Struck down,Batting,1,1
ML Udawatte,Struck down,Bowling,2,2
MM Ali,Struck down,Batting,5,14
MM Ali,Struck down,Bowling,16,21
MM Ali,Umpire's call,Batting,2,14
MM Ali,Upheld,Batting,7,14
MM Ali,Upheld,Bowling,5,21
MN Samuels,Struck down,Batting,5,9
MN Samuels,Struck down,Bowling,8,8
MN Samuels,Upheld,Batting,4,9
MN Waller,Struck down,Batting,1,1
MN Waller,Struck down,Bowling,2,3
MN Waller,Upheld,Bowling,1,3
Mohammad Abbas,Struck down,Batting,2,3
Mohammad Abbas,Struck down,Bowling,3,5
Mohammad Abbas,Umpire's call,Batting,1,3
Mohammad Abbas,Umpire's call,Bowling,2,5
Mohammad Amir,Struck down,Bowling,4,6
Mohammad Amir,Umpire's call,Batting,3,3
Mohammad Amir,Upheld,Bowling,2,6
Mohammad Hafeez,Struck down,Batting,2,5
Mohammad Hafeez,Struck down,Bowling,8,10
Mohammad Hafeez,Umpire's call,Batting,1,5
Mohammad Hafeez,Upheld,Batting,2,5
Mohammad Hafeez,Upheld,Bowling,2,10
Mohammad Irfan,Struck down,Bowling,2,2
Mohammad Mithun,Struck down,Batting,1,3
Mohammad Mithun,Struck down,Bowling,2,5
Mohammad Mithun,Umpire's call,Bowling,2,5
Mohammad Mithun,Upheld,Batting,2,3
Mohammad Mithun,Upheld,Bowling,1,5
Mohammad Nabi,Upheld,Bowling,1,1
Mohammad Rizwan,Umpire's call,Batting,1,2
Mohammad Rizwan,Upheld,Batting,1,2
Mohammad Salman,Struck down,Batting,1,1
Mohammad Talha,Struck down,Batting,1,1
Mohammad Talha,Struck down,Bowling,1,1
Mohammed Shami,Struck down,Bowling,1,1
Mohammed Shami,Upheld,Batting,1,1
Mominul Haque,Struck down,Batting,6,7
Mominul Haque,Struck down,Bowling,3,5
Mominul Haque,Upheld,Batting,1,7
Mominul Haque,Upheld,Bowling,2,5
Mosaddek Hossain,Struck down,Bowling,2,2
Mosaddek Hossain,Upheld,Batting,1,1
MR Marsh,Struck down,Bowling,9,15
MR Marsh,Umpire's call,Batting,1,4
MR Marsh,Upheld,Batting,3,4
MR Marsh,Upheld,Bowling,6,15
MS Crane,Struck down,Batting,1,1
MS Harris,Struck down,Batting,1,2
MS Harris,Struck down,Bowling,1,1
MS Harris,Umpire's call,Batting,1,2
MS Panesar,Struck down,Batting,2,2
MS Wade,Struck down,Batting,5,12
MS Wade,Struck down,Bowling,9,12
MS Wade,Umpire's call,Batting,2,12
MS Wade,Umpire's call,Bowling,2,12
MS Wade,Upheld,Batting,5,12
MS Wade,Upheld,Bowling,1,12
MT Renshaw,Struck down,Bowling,3,3
MT Renshaw,Upheld,Batting,4,4
Mushfiqur Rahim,Struck down,Batting,3,11
Mushfiqur Rahim,Struck down,Bowling,11,14
Mushfiqur Rahim,Umpire's call,Batting,2,11
Mushfiqur Rahim,Umpire's call,Bowling,1,14
Mushfiqur Rahim,Upheld,Batting,6,11
Mushfiqur Rahim,Upheld,Bowling,2,14
Mustafizur Rahman,Struck down,Batting,2,3
Mustafizur Rahman,Upheld,Batting,1,3
Mustafizur Rahman,Upheld,Bowling,1,1
MV Boucher,Struck down,Batting,2,2
MV Boucher,Struck down,Bowling,1,1
MVT Fernando,Struck down,Batting,1,1
N Deonarine,Struck down,Batting,1,1
N Deonarine,Struck down,Bowling,1,2
N Deonarine,Upheld,Bowling,1,2
N Dickwella,Struck down,Batting,3,8
N Dickwella,Struck down,Bowling,8,9
N Dickwella,Umpire's call,Batting,1,8
N Dickwella,Umpire's call,Bowling,1,9
N Dickwella,Upheld,Batting,4,8
N M'shangwe,Struck down,Batting,1,1
N Pradeep,Struck down,Batting,3,6
N Pradeep,Struck down,Bowling,2,2
N Pradeep,Upheld,Batting,3,6
N Wagner,Struck down,Batting,4,8
N Wagner,Struck down,Bowling,2,2
N Wagner,Upheld,Batting,4,8
Najmul Hossain Shanto,Upheld,Bowling,1,1
Nasir Hossain,Struck down,Batting,1,1
Nasir Hossain,Struck down,Bowling,1,2
Nasir Hossain,Upheld,Bowling,1,2
Nasir Jamshed,Struck down,Batting,1,1
Nasir Jamshed,Struck down,Bowling,1,1
Nayeem Hasan,Struck down,Batting,1,1
Nazmul Hossain Shanto,Upheld,Bowling,1,1
Nazmul Islam,Umpire's call,Batting,1,1
NLTC Perera,Struck down,Batting,1,1
NM Lyon,Struck down,Batting,8,13
NM Lyon,Struck down,Bowling,7,7
NM Lyon,Umpire's call,Batting,1,13
NM Lyon,Upheld,Batting,4,13
NRD Compton,Struck down,Batting,1,2
NRD Compton,Struck down,Bowling,4,6
NRD Compton,Upheld,Batting,1,2
NRD Compton,Upheld,Bowling,2,6
NT Paranavitana,Struck down,Batting,2,4
NT Paranavitana,Struck down,Bowling,5,6
NT Paranavitana,Upheld,Batting,2,4
NT Paranavitana,Upheld,Bowling,1,6
OJ Pope,Struck down,Batting,2,4
OJ Pope,Struck down,Bowling,2,4
OJ Pope,Umpire's call,Bowling,2,4
OJ Pope,Upheld,Batting,2,4
P Kumar,Upheld,Bowling,1,1
P Utseya,Struck down,Batting,1,1
PA Patel,Struck down,Bowling,1,2
PA Patel,Upheld,Batting,1,1
PA Patel,Upheld,Bowling,1,2
PD Collingwood,Upheld,Bowling,1,1
PG Fulton,Upheld,Batting,1,1
PG Fulton,Upheld,Bowling,1,1
PHT Kaushal,Struck down,Batting,1,1
PHT Kaushal,Struck down,Bowling,1,1
PJ Cummins,Struck down,Batting,5,7
PJ Cummins,Struck down,Bowling,5,7
PJ Cummins,Upheld,Batting,2,7
PJ Cummins,Upheld,Bowling,2,7
PJ Hughes,Struck down,Batting,3,4
PJ Hughes,Struck down,Bowling,4,5
PJ Hughes,Upheld,Batting,1,4
PJ Hughes,Upheld,Bowling,1,5
PJ Malan,Struck down,Batting,1,1
PJ Malan,Struck down,Bowling,1,1
PJ Moor,Struck down,Batting,2,3
PJ Moor,Struck down,Bowling,1,1
PJ Moor,Upheld,Batting,1,3
PLS Gamage,Struck down,Batting,1,2
PLS Gamage,Umpire's call,Batting,1,2
PM Nevill,Struck down,Batting,2,3
PM Nevill,Struck down,Bowling,4,5
PM Nevill,Upheld,Batting,1,3
PM Nevill,Upheld,Bowling,1,5
PM Pushpakumara,Struck down,Batting,1,2
PM Pushpakumara,Struck down,Bowling,1,1
PM Pushpakumara,Upheld,Batting,1,2
PM Siddle,Struck down,Batting,3,5
PM Siddle,Struck down,Bowling,8,9
PM Siddle,Upheld,Batting,2,5
PM Siddle,Upheld,Bowling,1,9
PP Shaw,Umpire's call,Bowling,1,1
PR Stirling,Umpire's call,Batting,1,1
PSP Handscomb,Struck down,Bowling,6,7
PSP Handscomb,Upheld,Batting,1,1
PSP Handscomb,Upheld,Bowling,1,7
PVD Chameera,Struck down,Batting,1,1
PVD Chameera,Struck down,Bowling,2,2
Q de Kock,Struck down,Batting,6,11
Q de Kock,Struck down,Bowling,11,13
Q de Kock,Umpire's call,Batting,1,11
Q de Kock,Upheld,Batting,4,11
Q de Kock,Upheld,Bowling,2,13
Qais Ahmad,Umpire's call,Batting,1,1
R Ashwin,Struck down,Batting,3,6
R Ashwin,Struck down,Bowling,5,8
R Ashwin,Umpire's call,Batting,1,6
R Ashwin,Umpire's call,Bowling,1,8
R Ashwin,Upheld,Batting,2,6
R Ashwin,Upheld,Bowling,2,8
R Chandrika,Struck down,Batting,2,2
R Dravid,Struck down,Bowling,1,2
R Dravid,Upheld,Batting,1,1
R Dravid,Upheld,Bowling,1,2
R McLaren,Struck down,Bowling,1,1
R Mutumbami,Struck down,Batting,1,1
R Mutumbami,Struck down,Bowling,1,1
R Rampaul,Struck down,Bowling,1,2
R Rampaul,Upheld,Bowling,1,2
RA Jadeja,Struck down,Bowling,3,5
RA Jadeja,Upheld,Batting,3,3
RA Jadeja,Upheld,Bowling,2,5
RA Reifer,Umpire's call,Bowling,1,1
Rahat Ali,Struck down,Batting,2,3
Rahat Ali,Upheld,Batting,1,3
RAS Lakmal,Struck down,Batting,5,10
RAS Lakmal,Struck down,Bowling,10,10
RAS Lakmal,Umpire's call,Batting,2,10
RAS Lakmal,Upheld,Batting,3,10
RG Sharma,Struck down,Batting,2,4
RG Sharma,Struck down,Bowling,1,1
RG Sharma,Umpire's call,Batting,1,4
RG Sharma,Upheld,Batting,1,4
RJ Burns,Struck down,Batting,2,7
RJ Burns,Struck down,Bowling,2,8
RJ Burns,Umpire's call,Batting,1,7
RJ Burns,Umpire's call,Bowling,3,8
RJ Burns,Upheld,Batting,4,7
RJ Burns,Upheld,Bowling,3,8
RJ Harris,Struck down,Batting,3,4
RJ Harris,Struck down,Bowling,4,5
RJ Harris,Upheld,Batting,1,4
RJ Harris,Upheld,Bowling,1,5
RJ Peterson,Struck down,Bowling,1,1
RL Chase,Struck down,Batting,3,9
RL Chase,Struck down,Bowling,5,10
RL Chase,Umpire's call,Batting,2,9
RL Chase,Umpire's call,Bowling,1,10
RL Chase,Upheld,Batting,4,9
RL Chase,Upheld,Bowling,4,10
RMS Eranga,Struck down,Bowling,2,3
RMS Eranga,Upheld,Bowling,1,3
Robiul Islam,Struck down,Batting,1,1
RR Pant,Struck down,Bowling,1,1
RR Sarwan,Struck down,Bowling,1,3
RR Sarwan,Upheld,Bowling,2,3
RRS Cornwall,Struck down,Batting,1,1
RT Ponting,Struck down,Batting,3,3
RT Ponting,Struck down,Bowling,5,7
RT Ponting,Upheld,Bowling,2,7
Rubel Hossain,Struck down,Bowling,1,1
Rubel Hossain,Upheld,Batting,1,1
RW Chakabva,Struck down,Batting,2,4
RW Chakabva,Struck down,Bowling,2,3
RW Chakabva,Umpire's call,Bowling,1,3
RW Chakabva,Upheld,Batting,2,4
RW Price,Struck down,Bowling,2,2
S Chanderpaul,Struck down,Batting,4,8
S Chanderpaul,Struck down,Bowling,7,10
S Chanderpaul,Upheld,Batting,4,8
S Chanderpaul,Upheld,Bowling,3,10
S Dhawan,Struck down,Batting,1,1
S Dhawan,Struck down,Bowling,5,6
S Dhawan,Upheld,Bowling,1,6
S Muthusamy,Struck down,Batting,1,1
S Muthusamy,Struck down,Bowling,1,1
S Randiv,Struck down,Batting,1,1
S Samarawickrama,Struck down,Batting,1,1
S Samarawickrama,Struck down,Bowling,1,1
S Shillingford,Struck down,Bowling,3,3
S van Zyl,Struck down,Batting,1,2
S van Zyl,Struck down,Bowling,2,2
S van Zyl,Upheld,Batting,1,2
Sabbir Rahman,Struck down,Batting,2,4
Sabbir Rahman,Struck down,Bowling,6,7
Sabbir Rahman,Upheld,Batting,2,4
Sabbir Rahman,Upheld,Bowling,1,7
Saeed Ajmal,Struck down,Batting,2,3
Saeed Ajmal,Struck down,Bowling,1,2
Saeed Ajmal,Upheld,Batting,1,3
Saeed Ajmal,Upheld,Bowling,1,2
Sami Aslam,Struck down,Batting,2,3
Sami Aslam,Struck down,Bowling,4,6
Sami Aslam,Upheld,Batting,1,3
Sami Aslam,Upheld,Bowling,2,6
Sarfraz Ahmed,Struck down,Batting,2,6
Sarfraz Ahmed,Struck down,Bowling,10,13
Sarfraz Ahmed,Umpire's call,Batting,2,6
Sarfraz Ahmed,Umpire's call,Bowling,1,13
Sarfraz Ahmed,Upheld,Batting,2,6
Sarfraz Ahmed,Upheld,Bowling,2,13
SC Cook,Struck down,Batting,1,1
SC Cook,Struck down,Bowling,4,4
SC Williams,Struck down,Batting,1,2
SC Williams,Upheld,Batting,1,2
SC Williams,Upheld,Bowling,1,1
SCJ Broad,Struck down,Batting,9,11
SCJ Broad,Struck down,Bowling,11,18
SCJ Broad,Umpire's call,Bowling,1,18
SCJ Broad,Upheld,Batting,2,11
SCJ Broad,Upheld,Bowling,6,18
SD Hope,Struck down,Batting,4,8
SD Hope,Struck down,Bowling,11,13
SD Hope,Umpire's call,Bowling,1,13
SD Hope,Upheld,Batting,4,8
SD Hope,Upheld,Bowling,1,13
SE Marsh,Struck down,Batting,2,7
SE Marsh,Struck down,Bowling,11,16
SE Marsh,Umpire's call,Batting,2,7
SE Marsh,Umpire's call,Bowling,2,16
SE Marsh,Upheld,Batting,3,7
SE Marsh,Upheld,Bowling,3,16
SF Mire,Struck down,Batting,1,1
SH Lewis,Struck down,Batting,2,2
SH Lewis,Struck down,Bowling,1,1
Shadab Khan,Struck down,Bowling,1,2
Shadab Khan,Upheld,Batting,1,1
Shadab Khan,Upheld,Bowling,1,2
Shadman Islam,Struck down,Bowling,1,1
Shadman Islam,Umpire's call,Batting,1,1
Shafiul Islam,Struck down,Batting,1,3
Shafiul Islam,Struck down,Bowling,2,2
Shafiul Islam,Upheld,Batting,2,3
Shaheen Shah Afridi,Struck down,Batting,2,3
Shaheen Shah Afridi,Struck down,Bowling,1,2
Shaheen Shah Afridi,Umpire's call,Batting,1,3
Shaheen Shah Afridi,Upheld,Bowling,1,2
Shakib Al Hasan,Struck down,Batting,2,3
Shakib Al Hasan,Struck down,Bowling,4,4
Shakib Al Hasan,Upheld,Batting,1,3
Shamsur Rahman,Upheld,Bowling,2,2
Shan Masood,Struck down,Batting,6,12
Shan Masood,Struck down,Bowling,7,11
Shan Masood,Umpire's call,Batting,2,12
Shan Masood,Umpire's call,Bowling,2,11
Shan Masood,Upheld,Batting,4,12
Shan Masood,Upheld,Bowling,2,11
Shoaib Malik,Upheld,Batting,1,1
Shuvagata Hom,Struck down,Bowling,1,2
Shuvagata Hom,Upheld,Bowling,1,2
Sikandar Raza,Struck down,Batting,2,3
Sikandar Raza,Struck down,Bowling,3,3
Sikandar Raza,Upheld,Batting,1,3
SJ Benn,Struck down,Bowling,1,1
SJ Benn,Upheld,Batting,1,1
SK Raina,Struck down,Bowling,1,1
SM Curran,Struck down,Batting,1,2
SM Curran,Umpire's call,Bowling,2,2
SM Curran,Upheld,Batting,1,2
SM Katich,Upheld,Batting,1,1
SNJ O'Keefe,Struck down,Batting,1,2
SNJ O'Keefe,Struck down,Bowling,2,2
SNJ O'Keefe,Upheld,Batting,1,2
SO Dowrich,Struck down,Batting,7,12
SO Dowrich,Struck down,Bowling,7,11
SO Dowrich,Umpire's call,Batting,2,12
SO Dowrich,Umpire's call,Bowling,2,11
SO Dowrich,Upheld,Batting,3,12
SO Dowrich,Upheld,Bowling,2,11
SO Hetmyer,Struck down,Bowling,1,1
SO Hetmyer,Upheld,Batting,3,3
Sohail Khan,Struck down,Bowling,3,3
Sohail Khan,Upheld,Batting,1,1
Soumya Sarkar,Struck down,Bowling,2,3
Soumya Sarkar,Upheld,Bowling,1,3
SPD Smith,Struck down,Batting,10,18
SPD Smith,Struck down,Bowling,16,23
SPD Smith,Umpire's call,Batting,1,18
SPD Smith,Umpire's call,Bowling,1,23
SPD Smith,Upheld,Batting,7,18
SPD Smith,Upheld,Bowling,6,23
SR Harmer,Struck down,Bowling,1,1
SR Watson,Struck down,Batting,8,11
SR Watson,Struck down,Bowling,11,13
SR Watson,Upheld,Batting,3,11
SR Watson,Upheld,Bowling,2,13
SSJ Brooks,Struck down,Batting,2,2
SSJ Brooks,Struck down,Bowling,1,1
ST Finn,Struck down,Batting,2,4
ST Finn,Struck down,Bowling,4,4
ST Finn,Upheld,Batting,2,4
ST Gabriel,Struck down,Batting,5,9
ST Gabriel,Struck down,Bowling,8,8
ST Gabriel,Umpire's call,Batting,1,9
ST Gabriel,Upheld,Batting,3,9
Sunzamul Islam,Struck down,Bowling,1,1
SW Ambris,Struck down,Batting,2,4
SW Ambris,Struck down,Bowling,2,2
SW Ambris,Umpire's call,Batting,1,4
SW Ambris,Upheld,Batting,1,4
SW Masakadza,Struck down,Batting,1,1
T Bavuma,Struck down,Batting,3,5
T Bavuma,Struck down,Bowling,10,14
T Bavuma,Upheld,Batting,2,5
T Bavuma,Upheld,Bowling,4,14
T Maruma,Struck down,Batting,1,2
T Maruma,Upheld,Batting,1,2
T Panyangara,Struck down,Bowling,3,3
T Panyangara,Upheld,Batting,1,1
T Shamsi,Upheld,Bowling,1,1
T Taibu,Struck down,Bowling,1,1
T Westley,Upheld,Bowling,1,1
TA Blundell,Struck down,Batting,1,3
TA Blundell,Struck down,Bowling,4,7
TA Blundell,Umpire's call,Batting,1,3
TA Blundell,Umpire's call,Bowling,3,7
TA Blundell,Upheld,Batting,1,3
TA Boult,Struck down,Batting,1,1
TA Boult,Struck down,Bowling,3,4
TA Boult,Upheld,Bowling,1,4
Taijul Islam,Struck down,Batting,1,3
Taijul Islam,Struck down,Bowling,5,9
Taijul Islam,Upheld,Batting,2,3
Taijul Islam,Upheld,Bowling,4,9
TAM Siriwardana,Upheld,Batting,1,1
Tamim Iqbal,Struck down,Batting,3,8
Tamim Iqbal,Struck down,Bowling,9,15
Tamim Iqbal,Umpire's call,Batting,1,8
Tamim Iqbal,Umpire's call,Bowling,2,15
Tamim Iqbal,Upheld,Batting,4,8
Tamim Iqbal,Upheld,Bowling,4,15
Tanvir Ahmed,Struck down,Batting,1,1
Tanvir Ahmed,Struck down,Bowling,1,1
Taskin Ahmed,Struck down,Batting,1,3
Taskin Ahmed,Upheld,Batting,2,3
Taskin Ahmed,Upheld,Bowling,2,2
Taufeeq Umar,Struck down,Batting,1,1
Taufeeq Umar,Struck down,Bowling,1,1
TB de Bruyn,Struck down,Bowling,3,6
TB de Bruyn,Umpire's call,Bowling,3,6
TD Paine,Struck down,Batting,3,8
TD Paine,Struck down,Bowling,6,9
TD Paine,Umpire's call,Batting,1,8
TD Paine,Umpire's call,Bowling,1,9
TD Paine,Upheld,Batting,4,8
TD Paine,Upheld,Bowling,2,9
TG Southee,Struck down,Batting,4,4
TG Southee,Struck down,Bowling,1,2
TG Southee,Upheld,Bowling,1,2
TK Curran,Upheld,Bowling,1,1
TK Musakanda,Upheld,Bowling,1,1
TL Best,Struck down,Batting,1,1
TL Best,Struck down,Bowling,1,1
TL Chatara,Struck down,Batting,2,2
TM Dilshan,Struck down,Batting,2,2
TM Head,Struck down,Batting,1,2
TM Head,Struck down,Bowling,3,6
TM Head,Umpire's call,Batting,1,2
TM Head,Umpire's call,Bowling,2,6
TM Head,Upheld,Bowling,1,6
TMK Mawoyo,Upheld,Batting,1,1
TS Chisoro,Struck down,Bowling,1,1
TT Bresnan,Struck down,Bowling,2,2
TT Samaraweera,Struck down,Batting,2,4
TT Samaraweera,Struck down,Bowling,3,4
TT Samaraweera,Upheld,Batting,2,4
TT Samaraweera,Upheld,Bowling,1,4
TWM Latham,Struck down,Batting,5,11
TWM Latham,Struck down,Bowling,14,19
TWM Latham,Umpire's call,Batting,1,11
TWM Latham,Umpire's call,Bowling,1,19
TWM Latham,Upheld,Batting,5,11
TWM Latham,Upheld,Bowling,4,19
Umar Gul,Struck down,Batting,2,2
Umar Gul,Struck down,Bowling,1,2
Umar Gul,Upheld,Bowling,1,2
Usman Salahuddin,Umpire's call,Batting,1,1
UT Khawaja,Struck down,Batting,8,11
UT Khawaja,Struck down,Bowling,10,17
UT Khawaja,Umpire's call,Batting,2,11
UT Khawaja,Umpire's call,Bowling,2,17
UT Khawaja,Upheld,Batting,1,11
UT Khawaja,Upheld,Bowling,5,17
UT Yadav,Struck down,Bowling,1,1
UWMBCA Welegedara,Upheld,Batting,1,1
V Kohli,Struck down,Batting,9,15
V Kohli,Struck down,Bowling,16,19
V Kohli,Umpire's call,Batting,4,15
V Kohli,Umpire's call,Bowling,1,19
V Kohli,Upheld,Batting,2,15
V Kohli,Upheld,Bowling,2,19
V Permaul,Upheld,Batting,1,1
V Permaul,Upheld,Bowling,1,1
V Sehwag,Upheld,Bowling,1,1
V Sibanda,Struck down,Batting,1,1
VA Singh,Struck down,Batting,1,1
VA Singh,Struck down,Bowling,1,1
VD Philander,Struck down,Batting,9,13
VD Philander,Struck down,Bowling,8,11
VD Philander,Upheld,Batting,4,13
VD Philander,Upheld,Bowling,3,11
VVS Laxman,Struck down,Bowling,2,2
WA Young,Struck down,Bowling,1,1
Wahab Riaz,Struck down,Batting,3,3
Wahab Riaz,Struck down,Bowling,3,6
Wahab Riaz,Upheld,Bowling,3,6
WD Parnell,Struck down,Bowling,1,1
WER Somerville,Struck down,Bowling,1,1
WER Somerville,Upheld,Batting,2,2
WP Masakadza,Struck down,Batting,1,1
WP Saha,Struck down,Batting,4,6
WP Saha,Struck down,Bowling,10,10
WP Saha,Umpire's call,Batting,1,6
WP Saha,Upheld,Batting,1,6
WU Tharanga,Struck down,Batting,1,2
WU Tharanga,Struck down,Bowling,3,4
WU Tharanga,Upheld,Batting,1,2
WU Tharanga,Upheld,Bowling,1,4
Yamin Ahmadzai,Upheld,Bowling,1,1
Yasir Shah,Struck down,Batting,4,11
Yasir Shah,Struck down,Bowling,4,6
Yasir Shah,Umpire's call,Batting,2,11
Yasir Shah,Upheld,Batting,5,11
Yasir Shah,Upheld,Bowling,2,6
Younis Khan,Struck down,Batting,12,19
Younis Khan,Struck down,Bowling,18,20
Younis Khan,Upheld,Batting,7,19
Younis Khan,Upheld,Bowling,2,20
Yuvraj Singh,Struck down,Bowling,1,1
Z Crawley,Struck down,Bowling,1,2
Z Crawley,Umpire's call,Batting,1,1
Z Crawley,Upheld,Bowling,1,2
ZS Ansari,Struck down,Batting,2,2
Zubayr Hamza,Struck down,Bowling,1,1
Zulfiqar Babar,Struck down,Batting,2,2
Zulfiqar Babar,Struck down,Bowling,1,1
